Name,R,Z,Main Axis Poloidal Angle,B
55.A3.00-MLF-3001,3.21481,-3.31348,-90,-0.7236167
55.A3.00-MLF-3002,3.21481,-2.82281,-90,-0.8892523
55.A3.00-MLF-3003,3.21481,-2.33214,-90,-1.067037
55.A3.00-MLF-3004,3.21481,-1.84148,-90,-1.250208
55.A3.00-MLF-3005,3.21481,-1.35081,-90,-1.409507
55.A3.00-MLF-3006,3.21481,-0.86014,-90,-1.526553
55.A3.00-MLF-3007,3.21481,-0.36948,-90,-1.601108
55.A3.00-MLF-3008,3.21481,0.12119,-90,-1.63702
55.A3.00-MLF-3009,3.21481,0.61186,-90,-1.629249
55.A3.00-MLF-3010,3.21481,1.10253,-90,-1.558669
55.A3.00-MLF-3011,3.21481,1.5932,-90,-1.405217
55.A3.00-MLF-3012,3.21481,2.08386,-90,-1.172656
55.A3.00-MLF-3013,3.21481,2.57453,-90,-0.9162889
55.A3.00-MLF-3014,3.21481,3.0652,-90,-0.7083601
55.A3.00-MLF-3015,3.21481,3.55587,-90,-0.5832083
55.A3.00-MLF-3016,3.2354,4.04811,-98.4,-0.530535
55.A3.00-MLF-3017,3.37149,4.52254,-113.2,-0.4455023
55.A3.00-MLF-3018,3.62538,4.94499,-128.1,-0.1980006
55.A3.00-MLF-3019,3.97883,5.28718,-142.9,0.1485482
55.A3.00-MLF-3020,4.40733,5.52686,-157.8,0.3930594
55.A3.00-MLF-3021,4.88126,5.65128,-171.1,0.3456693
55.A3.00-MLF-3022,5.3703,5.67995,177.7,0.097087108
55.A3.00-MLF-3023,5.85542,5.61215,166.4,-0.2134647
55.A3.00-MLF-3024,6.31801,5.45082,156.1,-0.5071666
55.A3.00-MLF-3025,6.75762,5.23325,151.2,-0.7101521
55.A3.00-MLF-3026,7.17708,4.97898,146.3,-0.8428735
55.A3.00-MLF-3027,7.57335,4.68988,141.4,-0.8788385
55.A3.00-MLF-3028,7.94351,4.36804,136.6,-0.8577214
55.A3.00-MLF-3029,8.28489,4.01581,131.7,-0.8388447
55.A3.00-MLF-3030,8.595,3.63576,126.8,-0.8473547
55.A3.00-MLF-3031,8.87157,3.23066,121.9,-0.8802194
55.A3.00-MLF-3032,9.11293,2.80278,117,-0.9213816
55.A3.00-MLF-3033,9.31659,2.35655,112.1,-0.9504361
55.A3.00-MLF-3034,9.48147,1.89457,107.2,-0.9552116
55.A3.00-MLF-3035,9.60636,1.42021,102.3,-0.9416078
55.A3.00-MLF-3036,9.68907,0.93677,96.5,-0.9295791
55.A3.00-MLF-3037,9.71281,0.44702,89,-0.9398317
55.A3.00-MLF-3038,9.67245,-0.04163,81.5,-0.9746114
55.A3.00-MLF-3039,9.56868,-0.52084,74,-1.017675
55.A3.00-MLF-3040,9.40329,-0.98242,66.5,-1.037842
55.A3.00-MLF-3041,9.20529,-1.43137,66.2,-1.040188
55.A3.00-MLF-3042,9.00724,-1.88029,66.2,-1.010938
55.A3.00-MLF-3043,8.80918,-2.3292,66.2,-0.9610904
55.A3.00-MLF-3044,8.61114,-2.77812,66.2,-0.9067884
55.A3.00-MLF-3045,8.41308,-3.22704,66.2,-0.8641976
55.A3.00-MLF-3046,8.21503,-3.67596,66.2,-0.848715
55.A3.00-MLF-3047,7.99437,-4.11376,59,-0.8719665
55.A3.00-MLF-3048,7.71065,-4.51348,50.2,-0.9264117
55.A3.00-MLF-3049,7.36936,-4.86534,41.5,-0.9431148
55.A3.00-MLF-3050,6.97847,-5.16112,32.7,-0.7990428
55.A3.00-MLF-3051,6.5471,-5.39392,24,-0.4540256
55.A3.00-MLF-3052,6.08531,-5.5583,15.2,0.033515885
55.A3.00-MLF-3053,5.60387,-5.65044,6.4,0.60062
55.A3.00-MLF-3054,5.11402,-5.66818,-2.3,1.131595
55.A3.00-MLF-3055,4.65884,-5.60298,-15.3,1.377883
55.A3.00-MLF-3056,4.20451,-5.41794,-29.8,1.13186
55.A3.00-MLF-3057,3.8101,-5.12472,-44.3,0.7057591
55.A3.00-MLF-3058,3.50123,-4.74126,-58.8,0.3457596
55.A3.00-MLF-3059,3.29859,-4.29162,-73.3,-0.044034496
55.A3.00-MLF-3060,3.21629,-3.80482,-87.8,-0.5158845
55.A4.00-MLF-3101,3.2324,-3.31348,180,-0.8376815
55.A4.00-MLF-3102,3.2324,-2.82281,180,-0.6690621
55.A4.00-MLF-3103,3.2324,-2.33214,-180,-0.5175974
55.A4.00-MLF-3104,3.2324,-1.84148,180,-0.3671586
55.A4.00-MLF-3105,3.2324,-1.35081,-180,-0.2137455
55.A4.00-MLF-3106,3.2324,-0.86014,180,-0.072896399
55.A4.00-MLF-3107,3.2324,-0.36948,180,0.044914667
55.A4.00-MLF-3108,3.2324,0.12119,-180,0.1428673
55.A4.00-MLF-3109,3.2324,0.61186,-180,0.2338105
55.A4.00-MLF-3110,3.2324,1.10253,180,0.323055
55.A4.00-MLF-3111,3.2324,1.5932,-180,0.3942418
55.A4.00-MLF-3112,3.2324,2.08386,180,0.4078447
55.A4.00-MLF-3113,3.2324,2.57453,-180,0.3362342
55.A4.00-MLF-3114,3.2324,3.0652,-180,0.2119281
55.A4.00-MLF-3115,3.2324,3.55587,-180,0.100471
55.A4.00-MLF-3116,3.25288,4.04811,171.6,0.1354417
55.A4.00-MLF-3117,3.38827,4.52254,156.6,0.3229539
55.A4.00-MLF-3118,3.64099,4.94499,141.6,0.4825125
55.A4.00-MLF-3119,3.99306,5.28718,126.7,0.4365366
55.A4.00-MLF-3120,4.42018,5.52686,111.9,0.1265646
55.A4.00-MLF-3121,4.89286,5.65128,98.9,-0.2694609
55.A4.00-MLF-3122,5.38084,5.67995,87.7,-0.5315168
55.A4.00-MLF-3123,5.8651,5.61215,76.4,-0.6267043
55.A4.00-MLF-3124,6.32698,5.45082,66.1,-0.5894862
55.A4.00-MLF-3125,6.76601,5.23325,61.2,-0.5099422
55.A4.00-MLF-3126,7.18498,4.97898,56.4,-0.3783597
55.A4.00-MLF-3127,7.58083,4.68988,51.5,-0.2476371
55.A4.00-MLF-3128,7.95065,4.36804,46.6,-0.1773984
55.A4.00-MLF-3129,8.29173,4.01581,41.7,-0.1656151
55.A4.00-MLF-3130,8.60159,3.63576,36.8,-0.179241
55.A4.00-MLF-3131,8.87796,3.23066,31.9,-0.1898187
55.A4.00-MLF-3132,9.11915,2.80278,27,-0.1815858
55.A4.00-MLF-3133,9.32268,2.35655,22.1,-0.1537038
55.A4.00-MLF-3134,9.48745,1.89457,17.2,-0.1211597
55.A4.00-MLF-3135,9.61226,1.42021,12.3,-0.1022199
55.A4.00-MLF-3136,9.69492,0.93677,6.5,-0.088695213
55.A4.00-MLF-3137,9.71864,0.44702,-1,-0.058378421
55.A4.00-MLF-3138,9.67832,-0.04163,-8.5,-0.016163485
55.A4.00-MLF-3139,9.5746,-0.52084,-16,0.058974359
55.A4.00-MLF-3140,9.40932,-0.98242,-23.5,0.1684476
55.A4.00-MLF-3141,9.21145,-1.43137,-23.8,0.1585746
55.A4.00-MLF-3142,9.01353,-1.88029,-23.8,0.1399319
55.A4.00-MLF-3143,8.81562,-2.3292,-23.8,0.1142306
55.A4.00-MLF-3144,8.61772,-2.77812,-23.8,0.082436189
55.A4.00-MLF-3145,8.41982,-3.22704,-23.8,0.047886748
55.A4.00-MLF-3146,8.22193,-3.67596,-23.8,0.014317669
55.A4.00-MLF-3147,8.00146,-4.11376,-31,0.097054742
55.A4.00-MLF-3148,7.718,-4.51348,-39.8,0.2598828
55.A4.00-MLF-3149,7.37705,-4.86534,-48.5,0.5309122
55.A4.00-MLF-3150,6.98659,-5.16112,-57.3,0.8775413
55.A4.00-MLF-3151,6.55575,-5.39392,-66.1,1.159478
55.A4.00-MLF-3152,6.09462,-5.5583,-74.8,1.276153
55.A4.00-MLF-3153,5.61398,-5.65044,-83.6,1.172786
55.A4.00-MLF-3154,5.1251,-5.66818,-92.3,0.7709722
55.A4.00-MLF-3155,4.67099,-5.60298,-105,0.052684758
55.A4.00-MLF-3156,4.21798,-5.41794,-119.5,-0.633497
55.A4.00-MLF-3157,3.82495,-5.12472,-134,-0.9567888
55.A4.00-MLF-3158,3.51739,-4.74126,-148.6,-1.089453
55.A4.00-MLF-3159,3.31574,-4.29162,-163.1,-1.163339
55.A4.00-MLF-3160,3.23387,-3.80482,-177.8,-1.033745
55.AA.00-MLF-1001,3.6049,-1.95265,-90,-1.099468
55.AA.00-MLF-1002,3.6049,-0.92625,-90,-1.424648
55.AA.00-MLF-1003,3.6049,0.10015,-90,-1.579041
55.AA.00-MLF-1004,3.6049,1.11152,-90,-1.514054
55.AA.00-MLF-1005,3.6049,2.1279,-90,-1.182908
55.AA.00-MLF-1006,3.6049,3.1543,-90,-0.7537323
55.AA.00-MLF-1007,3.69453,4.08334,-109.3,-0.4744277
55.AA.00-MLF-1008,4.38077,4.91302,-149.7,0.032087743
55.AA.00-MLF-1009,5.41282,5.10645,170.9,-0.1609016
55.AA.00-MLF-1010,6.53153,4.51907,145.4,-0.7490842
55.AA.00-MLF-1011,7.17122,4.05543,140.5,-0.8936514
55.AA.00-MLF-1012,8.02898,3.14628,126.2,-0.9899904
55.AA.00-MLF-1013,8.49892,2.36133,115.7,-1.048747
55.AA.00-MLF-1014,8.85275,1.32477,100.4,-1.080352
55.AA.00-MLF-1015,8.89025,-0.06075,83.6,-1.104549
55.AA.00-MLF-1016,8.4899,-1.18538,65.4,-1.101109
55.AA.00-MLF-1017,8.07759,-2.0866,65.4,-1.00548
55.AA.00-MLF-1018,7.05132,-2.93315,37.8,-0.7870992
55.AA.00-MLF-1020,6.61544,-4.57511,37.1,-0.6215894
55.AA.00-MLF-1021,5.83793,-4.96939,16.7,0.054551017
55.AA.00-MLF-1022,5.03206,-5.06801,-4.5,0.7926919
55.AA.00-MLF-1023,4.26827,-4.79455,-34.9,0.7594877
55.AA.00-MLF-1024,3.75692,-4.18902,-64.7,0.1174118
55.AA.00-MLF-1025,3.61377,-3.65187,-85.5,-0.4116269
55.AB.00-MLF-1101,3.61975,-3.65139,4.5,0.7712423
55.AB.00-MLF-1102,3.76235,-4.18646,25.3,0.88003
55.AB.00-MLF-1103,4.27171,-4.78962,55.1,0.4862839
55.AB.00-MLF-1104,5.03252,-5.06202,85.5,-0.4545595
55.AB.00-MLF-1105,5.83621,-4.96364,106.7,-0.8972592
55.AB.00-MLF-1106,6.61183,-4.57032,127.1,-0.6388283
55.AB.00-MLF-1107,7.14317,4.07064,-129.1,0.1624545
55.AB.00-MLF-1108,6.25987,4.69937,-124.6,0.2082594
55.AB.00-MLF-1109,5.45643,5.09273,-100.8,0.3393167
55.AB.00-MLF-1110,4.4007,4.91757,-60.4,-0.1600383
55.AB.00-MLF-1111,3.69873,4.07096,-18.9,-0.1727481
55.AB.00-MLF-1112,3.60691,2.6386,0,-0.1292493
55.AL.00-MLF-0001,5.87282,-3.89842,135,-0.2967454
55.AL.00-MLF-0002,5.87282,-3.93222,-135,0.3874108
